Delivery_person_Age,Delivery_person_Ratings,distance,order_preparation_time,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
36.0,4.2,10.0,15.0,Fog,Jam,2,motorcycle,3.0,No,Metropolitian,46
21.0,4.7,6.0,10.0,Stormy,High,1,motorcycle,1.0,No,Metropolitian,23
23.0,4.7,13.0,10.0,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,21
34.0,4.3,2.0,10.0,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,20
24.0,4.7,19.0,15.0,Fog,Jam,1,scooter,1.0,No,Metropolitian,41
29.0,4.5,13.0,10.0,Sandstorms,Jam,2,electric_scooter,1.0,No,Metropolitian,20
35.0,4.0,6.0,15.0,Windy,High,1,scooter,1.0,No,Metropolitian,33
33.0,4.2,16.0,10.0,Sandstorms,Jam,2,motorcycle,1.0,No,Metropolitian,40
34.0,4.9,10.0,10.0,Cloudy,Jam,0,motorcycle,0.7446345675136238,No,Metropolitian,41
21.0,4.7,4.0,15.0,Windy,Jam,0,motorcycle,1.0,No,Urban,15
25.0,4.1,12.0,5.0,Sandstorms,Jam,0,motorcycle,2.0,No,Metropolitian,36
31.0,4.7,19.0,15.0,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,26
37.0,5.0,1.0,15.0,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,20
33.0,4.3,20.0,15.0,Windy,Jam,2,scooter,1.0,No,Metropolitian,39
25.0,4.0,6.0,5.0,Cloudy,High,1,motorcycle,1.0,No,Metropolitian,34
29.0,4.5,17.0,15.0,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,15
27.0,5.0,4.0,5.0,Stormy,Jam,0,motorcycle,0.0,No,Urban,18
35.0,4.3,13.0,10.0,Cloudy,Low,1,scooter,0.0,No,Metropolitian,38
32.0,4.0,13.0,15.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,47
23.0,4.8,16.0,10.0,Windy,Low,2,electric_scooter,0.0,No,Urban,12
31.0,4.8,4.0,15.0,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,26
36.0,4.1,7.0,5.0,Stormy,Low,0,motorcycle,1.0,No,Urban,22
26.0,4.3,7.0,10.0,Sandstorms,Low,0,motorcycle,0.0,No,Urban,21
38.0,4.9,6.0,5.0,Cloudy,High,1,scooter,1.0,No,Urban,25
32.0,3.5,17.0,10.0,Stormy,Jam,1,scooter,0.0,No,Urban,35
32.0,4.6,19.0,10.0,Cloudy,Low,2,scooter,1.0,No,Metropolitian,30
33.0,4.9,10.0,15.0,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,22
20.0,4.7,6.0,10.0,Windy,High,1,scooter,0.0,No,Urban,10
20.0,4.8,1.0,795.0,Sandstorms,Low,2,scooter,1.0,No,Metropolitian,19
35.0,5.0,3.0,10.0,Sunny,Low,2,scooter,1.0,No,Urban,11
26.0,4.9,3.0,15.0,Stormy,Low,2,scooter,0.0,No,Metropolitian,11
22.0,4.8,10.0,75.0,Fog,Low,1,motorcycle,1.0,No,Metropolitian,28
35.0,4.3,10.0,5.0,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,33
29.566910587697233,4.6337736972250205,12.0,1240.0,Cloudy,Medium,1,scooter,1.0,No,Metropolitian,33
37.0,4.7,13.0,5.0,Sandstorms,Jam,0,motorcycle,3.0,No,Metropolitian,52
28.0,4.6,16.0,15.0,Stormy,Jam,1,scooter,1.0,No,Metropolitian,22
37.0,4.9,3.0,635.0,Fog,Low,1,scooter,1.0,No,Urban,16
23.0,4.9,9.0,5.0,Sunny,Jam,2,electric_scooter,0.0,No,Metropolitian,11
27.0,4.9,9.0,1280.0,Windy,Medium,1,scooter,1.0,No,Metropolitian,25
37.0,4.8,6.0,10.0,Cloudy,Medium,0,motorcycle,1.0,No,Urban,26
33.0,5.0,1.0,10.0,Sunny,High,2,scooter,1.0,No,Metropolitian,18
31.0,4.9,6.0,5.0,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,16
31.0,4.8,17.0,10.0,Stormy,Low,2,scooter,1.0,No,Metropolitian,23
25.0,5.0,4.0,15.0,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,15
28.0,4.8,12.0,10.0,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,36
